green500rank,mflopswatt,site,Computer,power
1,"4,389.82","GSIC Center, Tokyo Institute of Technology","TSUBAME-KFC - LX 1U-4GPU/104Re-1G Cluster, Intel Xeon E5-2620v2 6C 2.100GHz, Infiniband FDR, NVIDIA K20x",34.58
2,"3,631.70",Cambridge University,"Wilkes - Dell T620 Cluster, Intel Xeon E5-2630v2 6C 2.600GHz, Infiniband FDR, NVIDIA K20",52.62
3,"3,517.84","Center for Computational Sciences, University of Tsukuba","HA-PACS TCA - Cray 3623G4-SM Cluster, Intel Xeon E5-2680v2 10C 2.800GHz, Infiniband QDR, NVIDIA K20x",78.77
4,"3,459.46",SURFsara,"Cartesius Accelerator Island - Bullx B515 cluster, Intel Xeon E5-2450v2 8C 2.5GHz, InfiniBand 4? FDR, Nvidia K40m",44.4
5,"3,185.91",Swiss National Supercomputing Centre (CSCS),"Piz Daint - Cray XC30, Xeon E5-2670 8C 2.600GHz, Aries interconnect , NVIDIA K20x","1,753.66"
6,"3,131.06",ROMEO HPC Center - Champagne-Ardenne,"romeo - Bull R421-E3 Cluster, Intel Xeon E5-2650v2 8C 2.600GHz, Infiniband FDR, NVIDIA K20x",81.41
7,"3,019.72",CSIRO,"CSIRO GPU Cluster - Nitro G16 3GPU, Xeon E5-2650 8C 2GHz, Infiniband FDR, Nvidia K20m",86.2
8,"2,951.95","GSIC Center, Tokyo Institute of Technology","TSUBAME 2.5 - Cluster Platform SL390s G7, Xeon X5670 6C 2.93GHz, Infiniband QDR, NVIDIA K20x",927.86
9,"2,813.14",Exploration & Production - Eni S.p.A.,"HPC2 - iDataPlex DX360M4, Intel Xeon E5-2680v2 10C 2.8GHz, Infiniband FDR, NVIDIA K20x","1,067.49"
10,"2,678.41",Financial Institution,"iDataPlex DX360M4, Intel Xeon E5-2680v2 10C 2.800GHz, Infiniband, NVIDIA K20x",54.6
11,"2,629.42",Financial Institution,"iDataPlex DX360M4, Intel Xeon E5-2680v2 10C 2.800GHz, Infiniband FDR, NVIDIA K20x",66.25
12,"2,629.42",Financial Institution,"iDataPlex DX360M4, Intel Xeon E5-2680v2 10C 2.800GHz, Infiniband FDR, NVIDIA K20x",66.25
13,"2,629.42",Financial Institution,"iDataPlex DX360M4, Intel Xeon E5-2680v2 10C 2.800GHz, Infiniband FDR, NVIDIA K20x",66.25
14,"2,629.42",Financial Institution,"iDataPlex DX360M4, Intel Xeon E5-2680v2 10C 2.800GHz, Infiniband FDR, NVIDIA K20x",66.25
15,"2,629.10",Max-Planck-Gesellschaft MPI/IPP,"iDataPlex DX360M4, Intel Xeon E5-2680v2 10C 2.800GHz, Infiniband, NVIDIA K20x",269.94
16,"2,495.12",Mississippi State University,"Shadow - Cray CS300-LC, Intel Xeon E5-2680v2 10C 2.8GHz, Infiniband FDR, Intel Xeon Phi 5110P",101.93
17,"2,351.10",King Abdulaziz City for Science and Technology,"SANAM - Adtech, ASUS ESC4000/FDR G2, Xeon E5-2650 8C 2.000GHz, Infiniband FDR, AMD FirePro S10000",179.15
18,"2,299.15",IBM Rochester,"BlueGene/Q, Power BQC 16C 1.600GHz, Custom Interconnect",82.19
19,"2,299.15","Interdisciplinary Centre for Mathematical and Computational Modelling, University of Warsaw","BlueGene/Q, Power BQC 16C 1.600GHz, Custom Interconnect",82.19
20,"2,299.15",University of Rochester,"BlueGene/Q, Power BQC 16C 1.60GHz, Custom",82.19
21,"2,299.15",Ecole Polytechnique Federale de Lausanne,"CADMOS BG/Q - BlueGene/Q, Power BQC 16C 1.600GHz, Custom Interconnect",82.19
22,"2,299.15",IBM Thomas J. Watson Research Center,"BlueGene/Q, Power BQC 16C 1.60 GHz, Custom",82.19
23,"2,243.04",University of Southern California,"HPCC - Cluster Platform SL250s Gen8, Xeon E5-2665 8C 2.400GHz, Infiniband FDR, Nvidia K20m",237
24,"2,181.56",DOE/SC/Argonne National Laboratory,"Vesta - BlueGene/Q, Power BQC 16C 1.60GHz, Custom",164
25,"2,181.56",DOE/SC/Argonne National Laboratory,"Cetus - BlueGene/Q, Power BQC 16C 1.600GHz, Custom Interconnect",328
26,"2,178.24",Science and Technology Facilities Council - Daresbury Laboratory,"Blue Joule - BlueGene/Q, Power BQC 16C 1.60GHz, Custom",657
27,"2,177.13",DOE/NNSA/LLNL,"Vulcan - BlueGene/Q, Power BQC 16C 1.600GHz, Custom Interconnect","1,972.00"
28,"2,176.91",Swiss National Supercomputing Centre (CSCS),"EPFL Blue Brain IV - BlueGene/Q, Power BQC 16C 1.600GHz, Custom Interconnect",328.7
29,"2,176.82",Forschungszentrum Juelich (FZJ),"JUQUEEN - BlueGene/Q, Power BQC 16C 1.600GHz, Custom Interconnect","2,301.00"
30,"2,176.78",Rensselaer Polytechnic Institute,"BlueGene/Q, Power BQC 16C 1.60GHz, Custom",410.9
31,"2,176.60",University of Edinburgh,"DiRAC - BlueGene/Q, Power BQC 16C 1.60GHz, Custom",493.12
32,"2,176.60",High Energy Accelerator Research Organization /KEK,"HIMAWARI - BlueGene/Q, Power BQC 16C 1.600GHz, Custom Interconnect",246.56
33,"2,176.60",High Energy Accelerator Research Organization /KEK,"SAKURA - BlueGene/Q, Power BQC 16C 1.60GHz, Custom",246.56
34,"2,176.58",CNRS/IDRIS-GENCI,"BlueGene/Q, Power BQC 16C 1.60GHz, Custom",328.75
35,"2,176.58",EDF R&D,"Zumbrota - BlueGene/Q, Power BQC 16C 1.60GHz, Custom",328.75
36,"2,176.58",Victorian Life Sciences Computation Initiative,"Avoca - BlueGene/Q, Power BQC 16C 1.60GHz, Custom",328.75
37,"2,176.58",DOE/SC/Argonne National Laboratory,"Mira - BlueGene/Q, Power BQC 16C 1.60GHz, Custom","3,945.00"
38,"2,176.58",DOE/NNSA/LLNL,"Sequoia - BlueGene/Q, Power BQC 16C 1.60 GHz, Custom","7,890.00"
39,"2,176.57",CINECA,"Fermi - BlueGene/Q, Power BQC 16C 1.60GHz, Custom",821.88
40,"2,176.52",Southern Ontario Smart Computing Innovation Consortium/University of Toronto,"BGQ - BlueGene/Q, Power BQC 16C 1.600GHz, Custom Interconnect",164.38
41,"2,176.52",IBM Rochester,"BlueGene/Q, Power BQC 16C 1.60 GHz, Custom",164.38
42,"2,176.52",IBM Rochester,"BlueGene/Q, Power BQC 16C 1.60 GHz, Custom",164.38
43,"2,143.03",DOE/SC/Oak Ridge National Laboratory,"Titan - Cray XK7 , Opteron 6274 16C 2.200GHz, Cray Gemini interconnect, NVIDIA K20x","8,208.00"
44,"2,115.15",Swiss National Supercomputing Centre (CSCS),"Todi - Cray XK7 , Opteron 6272 16C 2.100GHz, Cray Gemini interconnect, NVIDIA Tesla K20 Kepler",129.4
45,"2,039.36","Center for Computational Sciences, University of Tsukuba","COMA (PACS-IX) - Cray CS300 1027GR, Intel Xeon E5-2670v2 10C 2.500GHz, Infiniband FDR, Intel Xeon Phi 7110P",365.8
46,"1,959.90",Intel,"Endeavor - Intel Cluster, Intel Xeon E5-2697v2 12C 2.700GHz, Infiniband FDR, Intel Xeon Phi 7110",387.2
47,"1,935.32",NASA Center for Climate Simulation,"Discover - iDataPlex DX360M4, Xeon E5-2670 8C 2.600GHz, Infiniband QDR, Intel Xeon Phi 5110P",215.6
48,"1,915.22",Purdue University,"Conte - Cluster Platform SL250s Gen8, Xeon E5-2670 8C 2.600GHz, Infiniband FDR, Intel Xeon Phi 5110P",510
49,"1,901.54",National Super Computer Center in Guangzhou,"Tianhe-2 (MilkyWay-2) - TH-IVB-FEP Cluster, Intel Xeon E5-2692 12C 2.200GHz, TH Express-2, Intel Xeon Phi 31S1P","17,808.00"
50,"1,810.99",Foundation for Computational Science (FOCUS),"System E - Cray CS300-AC, Intel Xeon E5-2670v2 10C 2.500GHz, Infiniband FDR, Intel Xeon Phi 5110P",81.04
51,"1,805.13","Academic Center for Computing and Media Studies (ACCMS), Kyoto University","camellia - Cray XC30, Intel Xeon E5-2670v2 10C 2.500GHz, Aries interconnect , Intel Xeon Phi 5120D",210.79
52,"1,793.96",DOE/SC/Pacific Northwest National Laboratory,"cascade - Atipa Visione IF442 Blade Server, Xeon E5-2670 8C 2.600GHz, Infiniband FDR, Intel Xeon Phi 5110P","1,307.60"
53,"1,760.20",Center for Development of Advanced Computing (C-DAC),"PARAM Yuva - II - R2208GZ Cluster, Xeon E5-2670 8C 2.600GHz, Infiniband FDR, Intel Xeon Phi 5110P",220.68
54,"1,687.02",Joint Supercomputer Center,"MVS-10P - RSC Tornado, Xeon E5-2690 8C 2.900GHz, Infiniband FDR, Intel Xeon Phi SE10X",222.7
55,"1,648.45",Moscow State University - Research Computing Center,"T-Platform A-Class Cluster, Intel Xeon E5-2680v2 10C 2.8GHz, Infiniband FDR, Nvidia K40m",194
56,"1,612.97",NASA/Ames Research Center/NAS,"Maia - SGI Rackable C1104G-RP5, Xeon E5-2670 8C 2.600GHz, Infiniband FDR, Intel Xeon Phi",132
57,"1,505.49",Louisiana State University,"SuperMIC - Dell C8220X Cluster, Intel Xeon E5-2680v2 10C 2.8GHz, Infiniband FDR, Intel Xeon Phi 7120P",370
58,"1,304.03",Indiana University,"Big Red II - Cray XK7 , Opteron 6276 16C 2.300GHz, Cray Gemini interconnect, NVIDIA K20",458.12
59,"1,226.60",Irish Centre for High-End Computing,"Fionn - SGI ICE X, Intel Xeon E5-2695v2 12C 2.400GHz, Infiniband FDR",114.5
60,"1,145.92",Texas Advanced Computing Center/Univ. of Texas,"Stampede - PowerEdge C8220, Xeon E5-2680 8C 2.700GHz, Infiniband FDR, Intel Xeon Phi SE10P","4,510.00"
61,"1,133.14",Universitaet Erlangen - Regionales Rechenzentrum Erlangen,"Emmy - NEC LX-2400, Intel Xeon E5-2660v2 10C 2.200GHz, Infiniband QDR",169
62,"1,121.26",AWE,"Spruce B - SGI ICE X, Intel Xeon E5-2680v2 10C 2.8GHz, Infiniband FDR",684.5
63,"1,121.20",AWE,"Spruce A - SGI ICE X, Intel Xeon E5-2680v2 10C 2.8GHz, Infiniband FDR",855.1
64,"1,050.26",Los Alamos National Laboratory,"Moonlight - Xtreme-X , Xeon E5-2670 8C 2.600GHz, Infiniband QDR, NVIDIA 2090",226.8
65,"1,038.33",T-Systems,"CASE-2 - SGI ICE X, Intel Xeon E5-2695v2 12C 2.400GHz, Infiniband FDR",236.8
66,"1,035.13","Center for Computational Sciences, University of Tsukuba","HA-PACS - Xtream-X GreenBlade 8204, Xeon E5-2670 8C 2.600GHz, Infiniband QDR, NVIDIA 2090",407.29
67,"1,018.50",Max-Planck-Gesellschaft MPI/IPP,"iDataPlex DX360M4, Intel Xeon E5-2680v2 10C 2.800GHz, Infiniband FDR","1,260.00"
68,"1,015.55",EDF R&D,"Athos - iDataPlex DX360M4, Intel Xeon E5-2697v2 12C 2.700GHz, Infiniband FDR14",347.27
69,"1,006.36",Karlsruher Institut für Technologie (KIT),"ForHLR1 - MEGWARE MiriQuid, Intel Xeon E5-2670v2 10C 2.5GHz, Infiniband FDR",205
70,991.64,Aerospace Company,"BladeCenter HS23 Cluster, Xeon E5-2680 8C 2.700GHz, Infiniband QDR",151.84
71,991.61,Classified,"BladeCenter HS23 Cluster, Xeon E5-2680 8C 2.700GHz, Infiniband QDR",177.84
72,990.6,Total Exploration Production,"Pangea - SGI ICE X, Xeon E5-2670 8C 2.600GHz, Infiniband FDR","2,118.00"
73,980.27,South Ural State University,"RSC Tornado SUSU - RSC Tornado, Xeon X5680 6C 3.330GHz, Infiniband QDR, Intel Xeon Phi SE10X",294
74,919.44,"Institute of Process Engineering, Chinese Academy of Sciences","Mole-8.5 - Mole-8.5 Cluster, Xeon X5520 4C 2.27 GHz, Infiniband QDR, NVIDIA 2050",540
75,962.59,ETH Zuerich,"Euler - Cluster Platform 3000 BL460c Gen8, Intel Xeon E5-2697v2 12C 2.7GHz, Infiniband FDR",201.7
76,957.98,IBM Development Engineering,"IBM NeXtScale nx360M4, Intel Xeon E5-2670v2 10C 2.500GHz, Infiniband FDR",201.83
77,957.98,IBM Development Engineering,"IBM NeXtScale nx360M4, Intel Xeon E5-2670v2 10C 2.500GHz, Infiniband FDR",201.83
78,957.98,IBM Development Engineering,"IBM NeXtScale nx360M4, Intel Xeon E5-2670v2 10C 2.500GHz, Infiniband FDR",201.83
79,957.98,IBM Development Engineering,"IBM NeXtScale nx360M4, Intel Xeon E5-2670v2 10C 2.500GHz, Infiniband FDR",201.83
80,940.91,Texas A&M University,"Ada - IBM NeXtScale nx360M4, Intel Xeon E5-2670v2 10C 2.5GHz, Infiniband FDR",356.82
81,932.63,Science and Technology Facilities Council - Daresbury Laboratory,"Blue Wonder - iDataPlex DX360M4, Xeon E5-2670 8C 2.600GHz, Infiniband FDR",170.16
82,932.6,NASA/Goddard Space Flight Center,"iDataPlex DX360M3, Xeon E5-2670 8C 2.600GHz, Infiniband QDR",159.53
83,932.6,Centro Euro-Mediterraneo per i Cambiamenti Climatici,"iDataPlex DX360M4, Xeon E5-2670 8C 2.600GHz, Infiniband FDR",159.53
84,930.84,Indian Institute of Technology - Kanpur,"Cluster Platform SL230s Gen8, Intel Xeon E5-2670v2 10C 2.5GHz, Infiniband FDR",369.9
85,929.63,Science and Technology Facilities Council - Daresbury Laboratory,"Blue Wonder - IBM NeXtScale nx360M4, Intel Xeon E5-2697v2 12C 2.700GHz, Infiniband FDR",239.6
86,910.9,Financial Institution (P),"iDataPlex DX360M4, Xeon E5-2670 8C 2.6GHz, Infiniband FDR",184.1
87,910.9,Financial Institution (P),"iDataPlex DX360M4, Xeon E5-2670 8C 2.6GHz, Infiniband FDR",184.1
88,910.88,National Center for Medium Range Weather Forecast,"iDataPlex DX360M4, Xeon E5-2670 8C 2.600GHz, Infiniband FDR",349.6
89,910.85,Barcelona Supercomputing Center,"MareNostrum - iDataPlex DX360M4, Xeon E5-2670 8C 2.600GHz, Infiniband FDR","1,015.60"
90,910.82,Max-Planck-Gesellschaft MPI/IPP,"iDataPlex DX360M4, Xeon E5-2670 8C 2.600GHz, Infiniband FDR",205.72
91,910.8,University of Southampton,"IRIDIS 4 - iDataPlex DX360M4, Xeon E5-2670 8C 2.600GHz, Infiniband FDR",249.26
92,910.8,Indian Institute of Tropical Meteorology,"iDataPlex DX360M4, Xeon E5-2670 8C 2.600GHz, Infiniband FDR",789.66
93,910.78,Exploration & Production - Eni S.p.A.,"HPCC1 - iDataPlex DX360M4, Xeon E5-2670 8C 2.600GHz, Infiniband FDR14",498.53
94,910.78,Geoscience,"iDataPlex DX360M4, Xeon E5-2670 8C 2.600GHz, Infiniband FDR",251.26
95,910.78,Bombardier Aerospace,"Argus - iDataPlex DX360M4, Xeon E5-2670 8C 2.600GHz, Infiniband FDR14",149.56
96,910.76,CLUMEQ - McGill University,"Guillimin Phase 2 - iDataPlex DX360M4, Xeon E5-2670 8C 2.600GHz, Infiniband QDR",154.88
97,909.57,Financial Institution (P),"iDataPlex DX360M4, Xeon E5-2670 8C 2.6GHz, Infiniband FDR",184.37
98,908.83,SURFsara,"Cartesius - Bullx DLC B710 Blades, Intel Xeon E5-2695v2 12C 2.400GHz, Infiniband FDR",245
99,907.73,Aerospace Company (E),"Cluster Platform 3000 BL460c Gen8, Intel Xeon E5-2697v2 12C 2.7GHz, Infiniband FDR",429.1
100,903.47,Shanghai Jiaotong University,"Inspur TS10000, Xeon E5-2670 8C 2.600GHz, Infiniband FDR, K20M/Xeon Phi 5110P",217.2
101,891.88,CINECA / SCS - SuperComputing Solution,"iDataPlex DX360M3, Xeon E5645 6C 2.40 GHz, Infiniband QDR, NVIDIA 2070",160
102,886.3,"Information Technology Center, The University of Tokyo","Oakleaf-FX - PRIMEHPC FX10, SPARC64 IXfx 16C 1.848GHz, Tofu interconnect","1,176.80"
103,881.36,Air Force Research Laboratory,"Spirit - SGI ICE X, Xeon E5-2670 8C 2.600GHz, Infiniband FDR","1,606.00"
104,875.34,NCAR (National Center for Atmospheric Research),"Yellowstone - iDataPlex DX360M4, Xeon E5-2670 8C 2.600GHz, Infiniband FDR","1,436.72"
105,875.33,Army Research Laboratory DoD Supercomputing Resource Center (ARL DSRC),"Pershing - iDataPlex DX360M4, Xeon E5-2670 8C 2.600GHz, Infiniband FDR",400.68
106,875.33,National Centers for Environment Prediction,"Tide - iDataPlex DX360M4, Xeon E5-2670 8C 2.600GHz, Infiniband FDR",203.52
107,875.33,National Centers for Environment Prediction,"Gyre - iDataPlex DX360M4, Xeon E5-2670 8C 2.600GHz, Infiniband FDR",203.52
108,875.33,Navy DSRC,"Haise - iDataPlex DX360M4, Xeon E5-2670 8C 2.600GHz, Infiniband FDR",373.97
109,875.33,Navy DSRC,"Kilrain - iDataPlex DX360M4, Xeon E5-2670 8C 2.600GHz, Infiniband FDR",373.97
110,875.32,Army Research Laboratory DoD Supercomputing Resource Center (ARL DSRC),"Hercules - iDataPlex DX360M4, Xeon E5-2670 8C 2.600GHz, Infiniband FDR",347.26
111,874.02,Saudi Aramco,"Makman - iDataPlex DX360M4, Xeon E5-2670 8C 2.600GHz, Infiniband QDR",505.5
112,869.86,Automotive,"IBM Flex System x240, Xeon E5-2670 8C 2.600GHz, Infiniband FDR",223.06
113,869.86,Automotive,"IBM Flex System x240, Xeon E5-2670 8C 2.600GHz, Infiniband FDR",223.06
114,869.83,Automotive,"IBM Flex System x240, Xeon E5-2670 8C 2.600GHz, Infiniband FDR",181.31
115,869.83,Automotive,"IBM Flex System x240, Xeon E5-2670 8C 2.600GHz, Infiniband FDR",181.31
116,869.83,Automotive,"IBM Flex System x240, Xeon E5-2670 8C 2.600GHz, Infiniband FDR",181.31
117,865.89,Petroleum Company,"xSeries x3650 Cluster, Xeon E5649 6C 2.530GHz, Infiniband, NVIDIA 2090",162.87
118,865.01,CSIR Fourth Paradigm Institute (CSIR-4PI),"Cluster Platform 3000 BL460c Gen8, Xeon E5-2670 8C 2.60GHz, Infiniband FDR",386.56
119,851.89,TOTAL,"Laure - SGI ICE X, Xeon E5-2670 8C 2.600GHz, Infiniband FDR",319
120,848.69,Sandia National Laboratories,"Dark Bridge - Appro Xtreme-X Supercomputer, Xeon E5-2670 8C 2.600GHz, Infiniband QDR",315.9
121,846.42,Leibniz Rechenzentrum,"SuperMUC - iDataPlex DX360M4, Xeon E5-2680 8C 2.70GHz, Infiniband FDR","3,422.67"
122,846.15,Maui High-Performance Computing Center (MHPCC),"Riptide - iDataPlex DX360M4, Xeon E5-2670 8C 2.600GHz, Infiniband FDR",251.2
123,837.69,Technische Universitaet Darmstadt,"iDataPlex DX360M4, Xeon E5-2670 8C 2.600GHz, Infiniband FDR",255.2
124,837.19,Lawrence Livermore National Laboratory,"Zin - Xtreme-X GreenBlade GB512X, Xeon E5 (Sandy Bridge - EP) 8C 2.60GHz, Infiniband QDR",924.16
125,830.18,RIKEN Advanced Institute for Computational Science (AICS),"K computer, SPARC64 VIIIfx 2.0GHz, Tofu interconnect","12,659.89"
126,824.79,Lawrence Livermore National Laboratory,"Cab - Xtreme-X , Xeon E5-2670 8C 2.600GHz, Infiniband QDR",421.2
127,820.17,Financial Institution,"xSeries x3650M4 Cluster, Intel Xeon E5-2680v2 10C 2.8GHz, Infiniband FDR",204.9
128,820.17,Financial Institution,"xSeries x3650M4 Cluster, Intel Xeon E5-2680v2 10C 2.8GHz, Infiniband FDR",204.9
129,819.84,Financial Institution (P),"iDataPlex DX360M4, Intel Xeon E5-2680v2 10C 2.8GHz, Infiniband FDR",192.8
130,819.84,Financial Institution (P),"iDataPlex DX360M4, Intel Xeon E5-2680v2 10C 2.8GHz, Infiniband FDR",192.8
131,819.84,Financial Institution (P),"iDataPlex DX360M4, Intel Xeon E5-2680v2 10C 2.8GHz, Infiniband FDR",192.8
132,819.84,Financial Institution (P),"iDataPlex DX360M4, Intel Xeon E5-2680v2 10C 2.8GHz, Infiniband FDR",192.8
133,808.47,Central Research Institute of Electric Power Industry/CRIEPI,"SGI ICE X, Xeon E5-2670 8C 2.600GHz, Infiniband FDR",720
134,805.93,Solution provider,"iDataPlex DX360M4, Xeon E5-2690 8C 2.9GHz, Infiniband FDR",199.7
135,799.62,Sandia National Laboratories,"Pecos - Xtreme-X , Xeon E5-2670 8C 2.600GHz, Infiniband QDR",421.2
136,799.26,China Meteorological Administration,"IBM Flex System p460, POWER7 8C 3.550GHz, Infiniband QDR",414.8
137,799.26,China Meteorological Administration,"IBM Flex System p460, POWER7 8C 3.550GHz, Infiniband QDR",544
138,799.26,China Meteorological Administration,"IBM Flex System p460, POWER7 8C 3.550GHz, Infiniband QDR",544
139,797.43,UCSD/San Diego Supercomputer Center,"Gordon - Xtreme-X GreenBlade GB512X, Xeon E5-2670 8C 2.600GHz, Infiniband QDR",358.4
140,794.5,Amazon Web Services,"Amazon EC2 C3 Instance cluster - Amazon EC2 Cluster, Intel Xeon E5-2680v2 10C 2.800GHz, 10G Ethernet",609.41
141,791.73,Commissariat a l'Energie Atomique (CEA),"Tera-100 Hybrid - Bullx B505, Xeon E56xx (Westmere-EP) 2.40 GHz, Infiniband QDR",194.51
142,787.63,CNRS/IDRIS-GENCI,"Ada - xSeries x3750 Cluster, Xeon E5-2680 8C 2.700GHz, Infiniband FDR",243.69
143,786.78,University of Oslo,"Abel - MEGWARE MiriQuid, Xeon E5-2670 8C 2.600GHz, Infiniband FDR",227
144,784.66,National Supercomputer Centre (NSC),"Triolith - Cluster Platform SL230s Gen8, Xeon E5-2660 8C 2.200GHz, Infiniband FDR",519
145,775.45,Los Alamos National Laboratory,"Luna - Xtreme-X GreenBlade GB512X, Xeon E5-2670 8C 2.600GHz, Infiniband QDR",448
146,770.88,Automotive Company,"Cluster Platform 3000 BL460c Gen8, Xeon E5-2670 8C 2.6GHz, Infiniband QDR",272.87
147,765.08,Electronics Company,"iDataPlex DX360M4, Xeon E5-2690 8C 2.900GHz, Infiniband FDR",255.97
148,764.86,NASA/Ames Research Center/NAS,"Pleiades - SGI ICE X, Intel Xeon E5-2670/E5-2680v2 2.6/2.8GHz, Infiniband FDR","2,015.14"
149,764.22,Instituto Tecnológico y de Energías Renovables S.A.,"TEIDE-HPC - Fujitsu PRIMERGY CX250 S1, Xeon E5-2670 8C 2.600GHz, Infiniband QDR",358.5
150,751.1,AWE,"WillowA - Bullx B510, Xeon E5-2670 8C 2.600GHz, Infiniband QDR",182
151,749.45,AWE,"WillowB - Bullx B510, Xeon E5-2670 8C 2.600GHz, Infiniband QDR",182
152,741.67,Purdue University,"Carter - Cluster Platform 3000 SL6500, Xeon E5 (Sandy Bridge - EP) 8C 2.60GHz, FDR Infiniband",252
153,741.06,National Supercomputing Center in Jinan,"Sunway Blue Light - Sunway BlueLight MPP, ShenWei processor SW1600 975.00 MHz, Infiniband QDR","1,074.00"
154,738.73,Norwegian University of Science and Technology,"SGI ICE X, Xeon E5-2670 8C 2.600GHz, Infiniband FDR",537
155,732.53,National Super Computer Center in Guangzhou,"Tianhe-1A Guangzhou Solution - NUDT YH MPP, Xeon X56xx (Westmere-EP) 2.93 GHz, Proprietary",289
156,731.92,Sandia National Laboratories,"Chama - Xtreme-X GreenBlade GB512X, Xeon E5-2670 8C 2.600GHz, Infiniband QDR",453.6
