green500rank,mflopswatt,site,Computer,power
331,235.4,Electronics,"xSeries x3650M4 Cluster, Xeon E5-2670 8C 2.6GHz, Gigabit Ethernet",694
332,235.4,Electronics,"xSeries x3650M4 Cluster, Xeon E5-2670 8C 2.6GHz, Gigabit Ethernet",694
333,235.4,Electronics,"xSeries x3650M4 Cluster, Xeon E5-2670 8C 2.6GHz, Gigabit Ethernet",694
334,235.4,Electronics,"xSeries x3650M4 Cluster, Xeon E5-2670 8C 2.6GHz, Gigabit Ethernet",694
335,234.9,IT Service Provider,"Cluster Platform SL230s Gen8, Xeon E5-2670 8C 2.600GHz, Infiniband FDR",614.4
336,233,IT Service Provider,"Cluster Platform 3000 BL460c Gen8, Xeon E5-2640 6C 2.5GHz, 10G Ethernet","1,609.20"
337,233,IT Service Provider,"Cluster Platform 3000 BL460c Gen8, Xeon E5-2640 6C 2.5GHz, 10G Ethernet","1,205.55"
338,232.12,"Information Technology Center, Nagoya University","Fujitsu PRIMERGY CX400, Intel Xeon E5-2697v2 12C 2.700GHz, Infiniband FDR, Xeon Phi 3120p","1,369.55"
339,230.94,Financial Services (H),"Cluster Platform 3000 BL460c Gen8, Xeon E5-2630 6C 2.300GHz, 10G Ethernet",717.53
340,230.32,Japan Atomic Energy Agency (JAEA),"BX900 Xeon X5570 2.93GHz , Infiniband QDR",831
341,228.76,Commissariat a l'Energie Atomique (CEA),Tera-100 - Bull bullx super-node S6010/S6030,"4,590.00"
342,226.4,IT Service Provider,"Cluster Platform SL250s Gen8, Intel Xeon E5-2670v2 10C 2.5GHz, Infiniband FDR","1,399.50"
343,226.33,Service Provider,"Cluster Platform 3000 BL460c Gen8, Xeon E5-2670 8C 2.600GHz, 10G Ethernet","2,410.20"
344,225.03,University of Tokyo/Institute for Solid State Physics,"SGI ICE 8400EX Xeon X5570 4-core 2.93 GHz, Infiniband",719
345,223.83,Research Center,"Cluster Platform SL250s Gen8, Xeon E5-2660 8C 2.200GHz, Infiniband FDR, NVIDIA 2090",604.8
346,223.5,Grand Equipement National de Calcul Intensif - Centre Informatique National de l'Enseignement Suprieur (GENCI-CINES),"Jade - SGI ICE 8200EX, Xeon E5450 4C 3.000GHz, Infiniband","1,064.00"
347,221.95,Banking,"Cluster Platform 3000 BL460c Gen8, Xeon E5-2660 8C 2.200GHz, 10G Ethernet",605.7
348,221.51,Automotive,"Cluster Platform 3000 BL460c Gen8, Xeon E5-2660 8C 2.200GHz, 10G Ethernet",631.8
349,220.6,Kyoto University,"Camphor - Cray XE6, Opteron 16C 2.50GHz, Cray Gemini interconnect","1,140.96"
350,220.42,University of Southern California,"HPC - PowerEdge 1950/SunFire X2200/IBM dx340/dx360/HP SL160/DL165, Xeon/Opteron 2.3-2.67GHz, Myrinet 10G",680.06
351,220.07,Electronic Industry,"Cluster Platform 3000 BL460c Gen8, Intel Xeon E5-2690v2 10C 3GHz, 10G Ethernet","1,059.00"
352,220.06,Service Provider,"Cluster Platform 3000 BL460c Gen8, Intel Xeon E5-2690v2 10C 3GHz, 10G Ethernet","1,344.00"
353,220.06,Service Provider,"Cluster Platform 3000 BL460c Gen8, Intel Xeon E5-2690v2 10C 3GHz, 10G Ethernet","1,344.00"
354,220.06,Electronics Company,"Cluster Platform 3000 BL460c Gen8, Intel Xeon E5-2690v2 10C 3GHz, 10G Ethernet",774
355,219.71,Banking (M),"Cluster Platform 3000 BL460c Gen8, Xeon E5-2660 8C 2.200GHz, 10G Ethernet",738.9
356,219.48,Banking (M),"Cluster Platform 3000 BL460c Gen8, Xeon E5-2660 8C 2.2GHz, 10G Ethernet",752.4
357,217.54,Telecommunication Company,"Cluster Platform 3000 BL460c Gen8, Xeon E5-2660 8C 2.200GHz, 10G Ethernet",867.6
358,217.46,IT Service Provider,"Cluster Platform 3000 BL460c Gen8, Xeon E5-2660 8C 2.200GHz, 10G Ethernet",872.1
359,215.53,KISTI Supercomputing Center,"TachyonII - Sun Blade x6048, X6275, IB QDR M9 switch, Sun HPC stack Linux edition","1,275.00"
360,210.77,IT Services Provider,"Cluster Platform SL230s Gen8, Xeon E5-2670 8C 2.600GHz, Infiniband QDR","1,104.00"
361,209.87,Telecommunication Company,"xSeries x3650M4 Cluster, Intel Xeon E5-2680v2 10C 2.8GHz, Gigabit Ethernet",767.9
362,209.87,Telecommunication Company,"xSeries x3650M4 Cluster, Intel Xeon E5-2680v2 10C 2.8GHz, Gigabit Ethernet",767.9
363,209.87,Telecommunication Company,"xSeries x3650M4 Cluster, Intel Xeon E5-2680v2 10C 2.8GHz, Gigabit Ethernet",767.9
364,209.86,Engineering Company,"xSeries x3650M4 Cluster, Intel Xeon E5-2680v2 10C 2.8GHz, Gigabit Ethernet",777.6
365,209.86,Engineering Company,"xSeries x3650M4 Cluster, Intel Xeon E5-2680v2 10C 2.8GHz, Gigabit Ethernet",777.6
366,209.86,Engineering Company,"xSeries x3650M4 Cluster, Intel Xeon E5-2680v2 10C 2.8GHz, Gigabit Ethernet",777.6
367,209.86,Engineering Company,"xSeries x3650M4 Cluster, Intel Xeon E5-2680v2 10C 2.8GHz, Gigabit Ethernet",777.6
368,209.86,Engineering Company,"xSeries x3650M4 Cluster, Intel Xeon E5-2680v2 10C 2.8GHz, Gigabit Ethernet",777.6
369,209.86,Engineering Company,"xSeries x3650M4 Cluster, Intel Xeon E5-2680v2 10C 2.8GHz, Gigabit Ethernet",777.6
370,209.86,Engineering Company,"xSeries x3650M4 Cluster, Intel Xeon E5-2680v2 10C 2.8GHz, Gigabit Ethernet",777.6
371,209.86,Engineering Company,"xSeries x3650M4 Cluster, Intel Xeon E5-2680v2 10C 2.8GHz, Gigabit Ethernet",777.6
372,209.55,ERDC DSRC,"Garnet - Cray XE6, Opteron 16C 2.500GHz, Cray Gemini interconnect","5,569.00"
373,206.98,ERDC DSRC,"Diamond - SGI ICE 8200 Enh. LX, Xeon X5560 2.8Ghz",774
374,206.72,Energy Company,"Cluster Platform SL250s Gen8, Xeon E5-2670 8C 2.600GHz, Infiniband QDR","1,401.60"
375,206.72,Geoscience (P),"Cluster Platform SL250s Gen8, Xeon E5-2670 8C 2.600GHz, Infiniband QDR","1,363.20"
376,206.72,Geoscience (P),"Cluster Platform SL250s Gen8, Xeon E5-2670 8C 2.600GHz, Infiniband QDR","1,344.00"
377,202.82,Logistic Services (E),"Cluster Platform 3000 BL460c Gen8, Intel Xeon E5-2697v2 12C 2.7GHz, 10G Ethernet",950.4
378,197.82,Energy Company,"Cluster Platform SL230s Gen8, Xeon E5-2670 8C 2.600GHz, 10G Ethernet",710.4
379,197.55,Retail,"Cluster Platform SL230s Gen8, Xeon E5-2670 8C 2.6GHz, 10G Ethernet",734.4
380,196.85,Government,"Cluster Platform 3000 BL460c Gen8, Xeon E5-2650 8C 2.000GHz, 10G Ethernet",927
381,196.01,Digital Media,"iDataPlex DX360M3, Xeon E5645 6C 2.4GHz, Gigabit Ethernet",797.6
382,193.86,Energy Company,"Cluster Platform SL250s Gen8, Xeon E5-2670 8C 2.600GHz, 10G Ethernet","1,917.60"
383,191.49,IT Service Provider,"Cluster Platform 3000 BL460c Gen8, Intel Xeon E5-2680v2 10C 2.8GHz, 10G Ethernet","2,496.00"
384,190.11,Retail,"Cluster Platform SL250s Gen8, Intel Xeon E5-2670v2 10C 2.5GHz, 10G Ethernet",720
385,189.14,Energy Company (D),"Cluster Platform SL230s Gen8, Xeon E5-2670 8C 2.600GHz, 10G Ethernet","2,419.20"
386,189.14,Energy Company,"Cluster Platform SL230s Gen8, Xeon E5-2670 8C 2.600GHz, 10G Ethernet","1,152.00"
387,189.14,Energy Company (D),"Cluster Platform SL230s Gen8, Xeon E5-2670 8C 2.600GHz, 10G Ethernet","1,070.40"
388,188.91,IT Service Provider,"Cluster Platform 3000 BL460c Gen8, Xeon E5-2670 8C 2.60GHz, 10G Ethernet",903.6
389,188.91,IT Service Provider,"Cluster Platform 3000 BL460c Gen8, Xeon E5-2670 8C 2.60GHz, 10G Ethernet",903.6
390,188.91,IT Service Provider,"Cluster Platform 3000 BL460c Gen8, Xeon E5-2670 8C 2.60GHz, 10G Ethernet",855
391,188.91,Service Provider,"Cluster Platform 3000 BL460c Gen8, Xeon E5-2670 8C 2.600GHz, 10G Ethernet",819
392,188.91,Service Provider,"Cluster Platform 3000 BL460c Gen8, Xeon E5-2670 8C 2.600GHz, 10G Ethernet",819
393,188.91,Service Provider,"Cluster Platform 3000 BL460c Gen8, Xeon E5-2670 8C 2.600GHz, 10G Ethernet",772.2
394,188.67,IT Services Provider (D),"Cluster Platform 3000 BL460c Gen8, Xeon E5-2670 8C 2.600GHz, Gigabit Ethernet",922.05
395,188.08,Cambridge University,"Darwin - Dell PowerEdge C6220, Xeon E5-2670 8C 2.600GHz, Infiniband FDR",975
396,185.87,NOAA/Oak Ridge National Laboratory,"Gaea C1 - Cray XE6, Opteron 6276 16C 2.30GHz, Cray Gemini interconnect","1,592.48"
397,185.83,Electronics,"xSeries x3650M3 Cluster, Xeon E5649 6C 2.530GHz, Gigabit Ethernet",782
398,185.83,Electronics,"xSeries x3650M3 Cluster, Xeon E5649 6C 2.530GHz, Gigabit Ethernet",782
399,185.79,Service Provider,"xSeries x3550M3 Cluster, Xeon E5649 6C 2.530GHz, Gigabit Ethernet",770.5
400,185.76,E-Commerce,"xSeries x3650M3 Cluster, Xeon E5649 6C 2.53GHz, Gigabit Ethernet",887.1
401,185.76,E-Commerce,"xSeries x3650M3 Cluster, Xeon E5649 6C 2.53GHz, Gigabit Ethernet",887.1
402,184.86,Korea Meteorological Administration,Haeon - Cray XE6 12-core 2.1 GHz,"1,711.60"
403,184.86,Korea Meteorological Administration,Haedam - Cray XE6 12-core 2.1 GHz,"1,711.60"
404,183.54,Cerner Corp.,"Cluster Platform 3000 BL460c Gen8, Xeon E5-2650 8C 2.000GHz, 10G Ethernet","1,454.40"
405,181.84,IT Services Provider,"Cluster Platform 3000 BL460c Gen8, Intel Xeon E5-2695v2 12C 2.4GHz, 10G Ethernet",784.8
406,181.82,Electrionic Industry,"Cluster Platform 3000 BL460c Gen8, Intel Xeon E5-2658v2 10C 2.400GHz, 10G Ethernet",786
407,181.38,Web-Service Provider,"Cluster Platform SL230s/SL250s, Intel Xeon E5-2670v2 10C 2.5GHz, 10G Ethernet","1,530.00"
408,180.6,Shanghai Supercomputer Center,"Magic Cube - Dawning 5000A, QC Opteron 1.9 Ghz, Infiniband, Windows HPC 2008","1,000.00"
409,177.4,Forschungszentrum Juelich (FZJ),"JUROPA - Sun Constellation, NovaScale R422-E2, Intel Xeon X5570, 2.93 GHz, Sun M9/Mellanox QDR Infiniband/Partec Parastation","1,549.00"
410,176.35,IBM Development Engineering,"BladeCenter HS22 Cluster (WM), Xeon E5649 6C 2.530GHz, Gigabit Ethernet",956.07
411,171.88,KTH - Royal Institute of Technology,"Lindgren - Cray XE6, Opteron 12 Core 2.10 GHz, Custom","1,380.07"
412,171.17,Government,Cray XE6 12-core 2.2 GHz,"1,726.32"
413,167.61,IT Service Provider,"Cluster Platform SL210t, Intel Xeon E5-2670v2 10C 2.5GHz, Gigabit Ethernet","1,204.80"
414,166.81,Samsung Electronics DS,"SRD CAE - Cluster Platform SL230s Gen8, Intel Xeon E5-2637v2/E5-2643v2/E5-2667v2 3.5/3.3GHz, 10G Ethernet","1,576.20"
415,166.74,University of Colorado,"MRI - PowerEdge C6100 Cluster, Xeon X5660 2.8 Ghz, Infiniband",912.8
416,160.74,IT Service Provider,"Cluster Platform SL230s Gen8, Xeon E5-2660 8C 2.2GHz, 10G Ethernet","1,411.20"
417,158.61,IT Services Provider,"Cluster Platform 3000 BL460c Gen8, Xeon E5-2660 8C 2.200GHz, Gigabit Ethernet","1,014.30"
418,157.12,SENAI/CIMATEC,"CIMATEC01 - SGI ICE X, Intel Xeon E5-2690v2 10C 3GHz, Infiniband FDR","2,580.00"
419,151.7,Universitaet Aachen/RWTH,"RWTH Compute Cluster (RCC) - Bullx B500 Cluster, Xeon X56xx 3.06Ghz, QDR Infiniband","1,449.12"
420,150.71,Texas Advanced Computing Center/Univ. of Texas,"Lonestar 4 - Dell PowerEdge M610 Cluster, Xeon 5680 3.3Ghz, Infiniband QDR","1,670.78"
421,148.48,INPE (National Institute for Space Research),"Tup - Cray XE6, Opteron 6172 12C 2.10GHz, Cray Gemini interconnect","1,442.64"
422,142.91,Retail,"Cluster Platform SL230s Gen8, Xeon E5-2670 8C 2.600GHz, Gigabit Ethernet","1,039.20"
423,142.43,IT Services Provider,"Cluster Platform SL230s Gen8, Xeon E5-2670 8C 2.600GHz, Gigabit Ethernet","1,104.00"
424,142.43,IT Services Provider,"Cluster Platform SL230s Gen8, Xeon E5-2670 8C 2.600GHz, Gigabit Ethernet","1,104.00"
425,142.21,IT Services Provider,"Cluster Platform SL230s Gen8, Xeon E5-2670 8C 2.600GHz, 10G Ethernet","1,134.00"
426,142.07,IT Provider (P),"Cluster Platform SL250s Gen8, Xeon E5-2670 8C 2.600GHz, Gigabit Ethernet","1,152.00"
427,141.36,IT Services Provider,"Cluster Platform SL230s Gen8, Xeon E5-2670 8C 2.600GHz, Gigabit Ethernet","1,248.00"
428,141.36,IT Services Provider,"Cluster Platform SL230s Gen8, Xeon E5-2670 8C 2.600GHz, Gigabit Ethernet","1,248.00"
429,141.01,Computacenter (UK) LTD,"Cluster Platform SL230s Gen8, Xeon E5-2670 8C 2.600GHz, Gigabit Ethernet","1,296.00"
430,140.33,Web-Service Provider,"Cluster Platform SL230s Gen8, Xeon E5-2670 8C 2.600GHz, 10G Ethernet","1,387.20"
431,139.75,Cyfronet,"Zeus - Cluster Platform SL390/BL2x220, Xeon X5650 6C 2.660GHz, Infiniband QDR, NVIDIA 2090","1,910.10"
432,137.64,IT Services Provider (B),"Cluster Platform DL388p, Intel Xeon E5-2609V2 4C 2.5GHz, Gigabit Ethernet","1,006.20"
433,137.05,Microsoft Windows Azure,"Faenov - Cluster Platform SL230s Gen8, Xeon E5-2670 8C 2.600GHz, Infiniband QDR","1,104.00"
434,136.8,Telecommunication Company,"Cluster Platform DL380e Gen8, Xeon E5-2640 6C 2.500GHz, Gigabit Ethernet","1,125.00"
435,134.42,Airbus,"HP POD - Cluster Platform 3000 BL260c G6, X5675 3.06 GHz, Infiniband","1,814.40"
436,134.12,Banking (M),"Cluster Platform SL230s Gen8, Xeon E5-2670 8C 2.600GHz, Gigabit Ethernet","2,227.20"
437,132.07,Energy Company (D),"Cluster Platform SL230s Gen8, Intel Xeon E5-2680v2 10C 2.800GHz, Gigabit Ethernet","3,780.00"
438,131.86,IT Services Provider (B),"Cluster Platform DL388p, Xeon E5-2609 4C 2.400GHz, Gigabit Ethernet","1,047.60"
439,131.45,NOAA Environmental Security Computer Center,"Zeus - SGI ICE 8400EX, Xeon X5690 6C 3.470GHz, Infiniband QDR","2,456.40"
440,129.25,IT Service Provider,"Cluster Platform SL230s Gen8, Xeon E5-2670 8C 2.600GHz, 10G Ethernet, NVIDIA 2075","3,244.80"
441,129.02,Logistic Services (E),"Cluster Platform DL360p Gen8, Xeon E5-2640 6C 2.500GHz, Gigabit Ethernet","2,218.50"
442,128.8,Service Provider,"Cluster Platform DL360p Gen8, Xeon E5-2640 6C 2.5GHz, Gigabit Ethernet","1,499.40"
443,128.8,IT Service Provider (D),"Cluster Platform DL360p Gen8, Xeon E5-2640 6C 2.500GHz, Gigabit Ethernet","2,250.00"
444,128.43,Telecommunication Company,"xSeries x3650M4 Cluster, Xeon E5-2670 8C 2.600GHz, Gigabit Ethernet","1,141.45"
445,128.43,Telecommunication Company,"xSeries x3650M4 Cluster, Xeon E5-2670 8C 2.600GHz, Gigabit Ethernet","1,141.45"
446,127.99,IT Service Provider,"Cluster Platform DL380p Gen8 , Xeon E5-2640 6C 2.500GHz, Gigabit Ethernet","2,364.30"
447,127.5,IT Service Provider (B),"Cluster Platform DL360p Gen8, Xeon E5-2640 6C 2.500GHz, Gigabit Ethernet","2,432.70"
448,127.41,Telecommunication Company,"Cluster Platform DL380p Gen8 , Xeon E5-2640 6C 2.500GHz, Gigabit Ethernet","1,211.40"
449,127.41,IT Service Provider (D),"Cluster Platform DL380p Gen8 , Xeon E5-2640 6C 2.500GHz, Gigabit Ethernet","2,445.30"
450,125.24,Service Provider,"Cluster Platform DL380p Gen8 , Xeon E5-2630 6C 2.300GHz, Gigabit Ethernet","1,219.50"
451,124.15,IT Services Provider,"Cluster Platform DL360p Gen8, Xeon E5-2630 6C 2.300GHz, Gigabit Ethernet","1,210.50"
452,124.15,IT Services Provider,"Cluster Platform DL360p Gen8, Xeon E5-2630 6C 2.300GHz, Gigabit Ethernet","1,385.10"
453,123.88,Service Provider,"Cluster Platform DL360p Gen8, Xeon E5-2640 6C 2.500GHz, Gigabit Ethernet","2,942.10"
454,122.67,IT Services Provider,"Cluster Platform DL360p Gen8, Xeon E5-2630 6C 2.300GHz, Gigabit Ethernet","1,611.90"
455,122.11,Service Provider,"Cluster Platform DL380p Gen8 , Xeon E5-2630 6C 2.300GHz, Gigabit Ethernet","1,697.40"
456,120.92,Telecommunication Company,"Cluster Platform DL160 Gen8 , Xeon E5-2630 6C 2.300GHz, Gigabit Ethernet","1,879.20"
457,120.5,Web-Service Provider,"Cluster Platform DL380p Gen8 , Xeon E5-2630 6C 2.300GHz, Gigabit Ethernet","1,944.00"
458,119.89,Logistic Services,"Cluster Platform DL380p Gen8 , Xeon E5-2630 6C 2.300GHz, Gigabit Ethernet","2,036.70"
459,118.96,IT Service Provider (B),"Cluster Platform DL380p Gen8 , Xeon E5-2630 6C 2.300GHz, Gigabit Ethernet","2,179.80"
460,115.16,IT Services Provider,"Cluster Platform DL360p Gen8, Xeon E5-2630 6C 2.300GHz, Gigabit Ethernet","2,759.40"
461,114.53,Geoscience (P),"Cluster Platform SL390s G7, Xeon X5650 6C 2.660GHz, Gigabit Ethernet, NVIDIA 2090","4,032.00"
462,113.95,DOE/National Energy Technology Laboratory,"HPCEE - SGI Rackable C2112-4RP3, Xeon E5-2670 8C 2.600GHz, Infiniband QDR","3,628.80"
463,110.87,Web Content Provider,"Cluster Platform DL360e Gen8, Xeon E5-2450 8C 2.100GHz, Gigabit Ethernet","1,802.40"
464,109.36,Service Provider,"Cluster Platform DL380e Gen8, Xeon E5-2450 8C 2.100GHz, Gigabit Ethernet","2,054.40"
465,108.23,Software Company (M),"Cluster Platform DL360e Gen8, Xeon E5-2450 8C 2.100GHz, Gigabit Ethernet","1,383.60"
466,108.23,Software Company (M),"Cluster Platform DL360e Gen8, Xeon E5-2450 8C 2.100GHz, Gigabit Ethernet","1,417.20"
467,108.23,Software Company (M),"Cluster Platform DL360e Gen8, Xeon E5-2450 8C 2.100GHz, Gigabit Ethernet","1,597.20"
468,108.23,Software Company (M),"Cluster Platform DL360e Gen8, Xeon E5-2450 8C 2.100GHz, Gigabit Ethernet","1,726.80"
469,108.23,Software Company (M),"Cluster Platform DL360e Gen8, Xeon E5-2450 8C 2.100GHz, Gigabit Ethernet","2,244.00"
470,106.97,Logistic Services,"Cluster Platform DL360p Gen8, Xeon E5-2620 6C 2.000GHz, Gigabit Ethernet","1,559.70"
471,106.66,IT Service Provider,"Cluster Platform DL360p Gen8, Xeon E5-2620 6C 2.000GHz, Gigabit Ethernet","1,612.80"
472,106.39,Service Provider,"Cluster Platform DL380p Gen8 , Xeon E5-2620 6C 2.000GHz, Gigabit Ethernet","1,661.40"
473,106.39,Service Provider,"Cluster Platform DL380p Gen8 , Xeon E5-2620 6C 2.000GHz, Gigabit Ethernet","1,432.80"
474,105.13,Telecommunication Company,"Cluster Platform DL380p Gen8 , Xeon E5-2650 8C 2.000GHz, Gigabit Ethernet","1,882.80"
475,103.61,IT Services Provider (B),"Cluster Platform DL380p Gen8 , Xeon E5-2650 8C 2.000GHz, Gigabit Ethernet","2,150.40"
476,103.61,IT Services Provider (B),"Cluster Platform DL380p Gen8 , Xeon E5-2650 8C 2.000GHz, Gigabit Ethernet","1,501.20"
477,103.39,Software Company (M),"Cluster Platform DL380e Gen8, Xeon E5-2430L 8C 2.000GHz, Gigabit Ethernet","2,187.90"
478,103.39,Software Company (M),"Cluster Platform DL380e Gen8, Xeon E5-2430L 8C 2.000GHz, Gigabit Ethernet","1,944.00"
479,103.23,Software Company (M),"Cluster Platform DL380e Gen8, Xeon E5-2430L 8C 2.000GHz, Gigabit Ethernet","2,216.70"
480,101.37,Web Content Provider,"Cluster Platform DL380p Gen8 , Xeon E5-2650 8C 2.000GHz, Gigabit Ethernet","1,836.00"
481,101.37,Web Content Provider,"Cluster Platform DL380p Gen8 , Xeon E5-2650 8C 2.000GHz, Gigabit Ethernet","2,544.00"
482,99.8,Sandia National Laboratories / National Renewable Energy Laboratory,"Red Sky - Sun Blade x6275, Xeon X55xx 2.93 Ghz, Infiniband","4,343.73"
483,99.09,IT Services Provider,"Cluster Platform DL360p Gen8, Xeon E5-2620 6C 2.000GHz, Gigabit Ethernet","2,944.80"
484,92.76,IT Provider (P),"Cluster Platform SL390s G7, Xeon X5650 6C 2.66GHz, Gigabit Ethernet, NVIDIA 2090","3,168.00"
485,82.32,Government,"Cluster Platform 3000 BL2x220, L54xx 2.5 Ghz, Infiniband","2,182.18"
486,75.2,Software Company (M),"Cluster Platform DL360e Gen8, Xeon E5-2450L 8C 1.800GHz, Gigabit Ethernet","5,674.80"
487,75.2,Software Company (M),"Cluster Platform DL360e Gen8, Xeon E5-2450L 8C 1.800GHz, Gigabit Ethernet","4,713.60"
488,75.2,Software Company (M),"Cluster Platform DL360e Gen8, Xeon E5-2450L 8C 1.800GHz, Gigabit Ethernet","4,681.20"
489,75.2,Software Company (M),"Cluster Platform DL360e Gen8, Xeon E5-2450L 8C 1.800GHz, Gigabit Ethernet","4,323.60"
490,75.2,Software Company (M),"Cluster Platform DL360e Gen8, Xeon E5-2450L 8C 1.800GHz, Gigabit Ethernet","2,222.40"
491,71.49,Banking (M),"Cluster Platform 3000 BL460c G7, Xeon X5650 6C 2.660GHz, Gigabit Ethernet","1,969.20"
492,71.49,Logistic Services (E),"Cluster Platform 3000 BL460c G7, Xeon X5650 6C 2.66GHz, Gigabit Ethernet","1,878.30"
493,59.13,Manufacturing Company,"Cluster Platform 4000 BL465c, Opteron 6174 12C 2.200GHz, Gigabit Ethernet","2,340.00"
494,55.3,Electrionic Industry,"Cluster Platform 4000 BL685c, Opteron 6274 16C 2.200GHz, Gigabit Ethernet","2,688.00"
495,54.95,Software Company (M),"Cluster Platform SL335s Gen7, Opteron 4171 6C 2.100GHz, 10G Ethernet","2,899.00"
496,54.95,Software Company (M),"Cluster Platform SL335s Gen7, Opteron 4171 6C 2.100GHz, 10G Ethernet","2,880.00"
497,52.39,"Research Institute for Information Technology, Kyushu University","QUARTETTO - HA8000-tc HT210/PRIMERGY CX400 Cluster, Xeon E5-2680 8C 2.700GHz, Infiniband FDR, NVIDIA K20/K20x, Xeon Phi 5110P","19,431.30"
498,48.38,Web Content Provider,"HP DL160 Cluster G6, Xeon E5645 6C 2.40GHz, Gigabit Ethernet","4,458.00"
499,42.33,Financial Services Company (G),"Cluster Platform SL165z G7, Opteron 6172 12C 2.100GHz, Gigabit Ethernet","3,340.80"
500,34.41,Government,Cray XT5 QC 2.4 GHz,"4,812.42"
